Course CRN Meeting Time,Day,Time,Building,Room,Comments
CS 100 - 10615 - 1:00 PM (MWF),Mon Dec 11,1:00 - 3:00 pm,2BSB,140,
CS 107 - 10634 - 3:30 PM (TR),Fri Dec 15,1:00 - 3:00 pm,2LCC,C004,
CS 109 - 36425 - 4:00 PM (MW),Tue Dec 12,3:30 - 5:30 pm,2BSB,250,
CS 111 - 40304 - 12:30 PM (TR),Fri Dec 15,8:00 - 10:00 am,2LCC,C003,
CS 111 - 34656 - 12:30 PM (TR),Fri Dec 15,8:00 - 10:00 am,2BSB,250,
CS 141 - 34657 - 3:00 PM (MWF),Mon Dec 11,8:00 - 10:00 am,2BSB,250,
CS 151 - 12346 - ALL,Fri Dec 15,3:30 - 5:30 pm,2LCD,"D001, D005, 2LCC C006",Combined Section Final
CS 211 - 34861 - 5:00 PM (T),Thu Dec 14,3:30 - 5:30 pm,2LCA,A001,
CS 251 - 12347 - ALL,Tue Dec 12,6:00 - 8:00 pm,2SES,250,Combined Section Final
CS 261 - 12348 - ALL,Wed Dec 13,6:00 - 8:00 pm,2SES,250,Combined Section Final
CS 301 - 10647 - 4:00 PM (MW),Tue Dec 12,3:30 - 5:30 pm,2LCB,B101 ,
CS 341 - 36202 - 1:00 PM (MWF),Mon Dec 11,1:00 - 3:00 pm,2LCD,"D004, D001",
CS 342 - 12349 - ALL,Fri Dec 15,1:00 - 3:00 pm,2LCD,"D004, 2LCE E101",Combined Section Final
CS 361 - 36535 - 2:00 PM (TR),Wed Dec 13,3:30 - 5:30 pm,2SES,250,
CS 362 - 36196 - 9:30 AM (TR),Wed Dec 13,10:30 - 12:30 pm,2LCD,D004,
CS 385 - 10654 - 3:30 PM (TR),Fri Dec 15,1:00 - 3:00 pm,2SES,138,
CS 401 - 39068 - 3:30 PM (TR),Fri Dec 15,1:00 - 3:00 pm,2LCC,C001; 2LCF F006,
CS 401 - 41676 - 3:00 PM (MW),Mon Dec 11,8:00 - 10:00 am,2LCF,F004,
CS 401 - 35218 - 12:30 PM (TR),Fri Dec 15,8:00 - 10:00 am,2LCF,F001,
CS 401 - 20262 - 2:00 PM (MWF),Wed Dec 13,1:00 - 3:00 pm,2TBH,180F,
CS 401 - 41675 - 3:00 PM (MW),Mon Dec 11,8:00 - 10:00 am,2LCF,F004,
CS 401 - 35219 - 12:30 PM (TR),Fri Dec 15,8:00 - 10:00 am,2LCF,F001,
CS 401 - 39067 - 3:30 PM (TR),Fri Dec 15,1:00 - 3:00 pm,2LCC,C001; 2LCF F006,
CS 401 - 10669 - 2:00 PM (MWF),Wed Dec 13,1:00 - 3:00 pm,2TBH,180F,
CS 411 - 10672 - 9:00 AM (MWF),Tue Dec 12,10:30 - 12:30 pm,2TBH,180G,
CS 411 - 20266 - 9:00 AM (MWF),Tue Dec 12,10:30 - 12:30 pm,2TBH,180G,
CS 412 - 38992 - 9:30 AM (TR),Wed Dec 13,10:30 - 12:30 pm,2SES,138,
CS 412 - 38993 - 9:30 AM (TR),Wed Dec 13,10:30 - 12:30 pm,2SES,138,
CS 425 - 38721 - 12:30 PM (TR),Fri Dec 15,8:00 - 10:00 am,2TBH,180G,
CS 425 - 38706 - 12:30 PM (TR),Fri Dec 15,8:00 - 10:00 am,2TBH,180G,
CS 440 - 12345 - ALL,Wed Dec 13,6:00 - 8:00 pm,2BSB,145,Combined Section Final
CS 441 - 39827 - 2:00 PM (TR),Wed Dec 13,3:30 - 5:30 pm,2BH,317,
CS 441 - 39826 - 2:00 PM (TR),Wed Dec 13,3:30 - 5:30 pm,2BH,317,
CS 450 - 10677 - 3:00 PM (MWF),Mon Dec 11,8:00 - 10:00 am,2TBH,180G,
CS 450 - 20271 - 3:00 PM (MWF),Mon Dec 11,8:00 - 10:00 am,2TBH,180G,
CS 466 - 28472 - 11:00 AM (TR),Mon Dec 11,10:30 - 12:30 pm,2TBH,180F,
CS 466 - 28473 - 11:00 AM (TR),Mon Dec 11,10:30 - 12:30 pm,2TBH,180F,
CS 474 - 38902 - 12:30 PM (TR),Fri Dec 15,8:00 - 10:00 am,2LCC,C004,
CS 474 - 38903 - 12:30 PM (TR),Fri Dec 15,8:00 - 10:00 am,2LCC,C004,
CS 478 - 41618 - 9:30 AM (TR),Wed Dec 13,10:30 - 12:30 pm,2LCD,D001,
CS 478 - 41619 - 9:30 AM (TR),Wed Dec 13,10:30 - 12:30 pm,2LCD,D001,
CS 480 - 13947 - 5:00 PM (TR),Thu Dec 14,3:30 - 5:30 pm,2LCC,C001,
CS 480 - 41677 - 5:00 PM (MW),Fri Dec 15,3:30 - 5:30 pm,2TBH,180F,
CS 480 - 10682 - 5:00 PM (TR),Thu Dec 14,3:30 - 5:30 pm,2LCC,C001,
CS 480 - 41678 - 5:00 PM (MW),Fri Dec 15,3:30 - 5:30 pm,2TBH,180F,
CS 491 - 38956 - 12:30 PM (TR),Fri Dec 15,8:00 - 10:00 am,2ERF,2068 ,
CS 491 - 41657 - 3:00 PM (MW),Mon Dec 11,8:00 - 10:00 am,2LCA,A006,
CS 491 - 26942 - 2:00 PM (R),Wed Dec 13,3:30 - 5:30 pm,,,
CS 491 - 30285 - 9:00 AM (M),Thu Dec 14,1:00 - 3:00 pm,,,
CS 491 - 38963 - 12:30 PM (TR),Fri Dec 15,8:00 - 10:00 am,2ERF,2068 ,
CS 491 - 41667 - 3:00 PM (MW),Mon Dec 11,8:00 - 10:00 am,2LCA,A006,
CS 491 - 30757 - 9:00 AM (M),Thu Dec 14,1:00 - 3:00 pm,,,
CS 491 - 27041 - 2:00 PM (R),Wed Dec 13,3:30 - 5:30 pm,,,
CS 514 - 22882 - 10:00 AM (MWF),Fri Dec 15,10:30 - 12:30 pm,2TBH,180E,
CS 521 - 25674 - 9:30 AM (TR),Wed Dec 13,10:30 - 12:30 pm,2LH,312,
CS 527 - 41070 - 4:00 PM (W),Tue Dec 12,3:30 - 5:30 pm,2ERF,2068,
CS 553 - 39828 - 2:00 PM (TR),Mon Dec 11,3:30 - 5:30 pm,2BH,208,
CS 559 - 25622 - 2:00 PM (MWF),Wed Dec 13,1:00 - 3:00 pm,2BH,305,
CS 565 - 28478 - 6:00 PM (TR),Tue Dec 12,6:00 - 8:00 pm,2BH,B6,
CS 566 - 33741 - 3:30 PM (TR),Fri Dec 15,1:00 - 3:00 pm,2LCA,A007,
CS 583 - 30286 - 3:30 PM (TR),Fri Dec 15,1:00 - 3:00 pm,2LCA,A002,
CS 584 - 33487 - 9:30 AM (TR),Wed Dec 13,10:30 - 12:30 pm,2SES,170,
CS 587 - 38056 - 6:00 PM (MW),Mon Dec 11,6:00 - 8:00 pm,2LCA,A007,
CS 594 - 40393 - 3:00 PM (MW),Mon Dec 11,8:00 - 10:00 am,2TBH,180E,